상영내역,,,,,,,,,,
상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회
2015-03-06,03관,"09:00, 킹스맨 : 시크릿 에이전트(디지털), 6,000원","11:40, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","14:20, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","16:55, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","19:30, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","22:05, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","24:40, 킹스맨 : 시크릿 에이전트(디지털), 9,000원",,
2015-03-06,04관,"08:20, 빅 히어로(디지털), 6,000원","10:35, 조선명탐정 : 사라진 놉의 딸(디지털), 10,000원","13:10, 센과 치히로의 행방불명(디지털), 10,000원","15:45, 조선명탐정 : 사라진 놉의 딸(디지털), 10,000원","18:20, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","21:00, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","23:35, 세인트 빈센트(디지털), 9,000원","25:45, 킹스맨 : 시크릿 에이전트(디지털), 9,000원",
2015-03-06,05관 [CGV아트하우스],"08:50, 이다(디지털), 6,000원","11:00, 버드맨(디지털), 10,000원","13:35, 제네시스: 세상의 소금(디지털), 10,000원","15:55, 버드맨(디지털), 10,000원","18:25, 조류인간(디지털), 7,000원","20:45, 버드맨(디지털), 10,000원","23:25, 이다(디지털), 9,000원",,
2015-03-06,06관,"08:40, 세인트 빈센트(디지털), 6,000원","10:50, 그레이의 50가지 그림자(디지털), 10,000원","13:25, 세인트 빈센트(디지털), 10,000원","15:35, 그레이의 50가지 그림자(디지털), 10,000원","18:10, 세인트 빈센트(디지털), 10,000원","20:20, 그레이의 50가지 그림자(디지털), 10,000원","22:55, 기생수 파트1(디지털), 10,000원","25:25, 이미테이션 게임(디지털), 9,000원",
2015-03-06,07관,"09:30, 버드맨(디지털), 6,500원","12:00, 버드맨(디지털), 10,000원","14:30, 버드맨(디지털), 10,000원","17:10, 버드맨(디지털), 10,000원","19:40, 버드맨(디지털), 10,000원","22:25, 버드맨(디지털), 10,000원","24:55, 버드맨(디지털), 9,000원",,
2015-03-06,08관,"09:10, 순수의 시대(디지털), 6,000원","11:30, 순수의 시대(디지털), 10,000원","13:50, 순수의 시대(디지털), 10,000원","16:10, 순수의 시대(디지털), 10,000원","18:35, 순수의 시대(디지털), 10,000원","20:55, 순수의 시대(디지털), 10,000원","23:15, 순수의 시대(디지털), 9,000원","25:35, 순수의 시대(디지털), 9,000원",
2015-03-07,01관,"07:50, 이미테이션 게임(디지털), 8,000원","10:15, 이미테이션 게임(디지털), 10,000원","12:50, 이미테이션 게임(디지털), 10,000원","15:15, 이미테이션 게임(디지털), 10,000원","17:40, 이미테이션 게임(디지털), 10,000원","20:05, 이미테이션 게임(디지털), 10,000원","22:30, 이미테이션 게임(디지털), 10,000원","25:00, 이미테이션 게임(디지털), 9,000원",
2015-03-07,02관,"08:10, 헬머니(디지털), 6,000원","10:25, 헬머니(디지털), 10,000원","12:40, 헬머니(디지털), 10,000원","14:55, 헬머니(디지털), 10,000원","17:10, 헬머니(디지털), 10,000원","19:25, 헬머니(디지털), 10,000원","21:40, 헬머니(디지털), 10,000원","23:55, 헬머니(디지털), 9,000원",
2015-03-07,03관,"08:50, 킹스맨 : 시크릿 에이전트(디지털), 6,000원","11:30, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","14:20, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","17:00, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","19:40, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","22:15, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","24:50, 킹스맨 : 시크릿 에이전트(디지털), 9,000원",,
2015-03-07,04관,"08:20, 빅 히어로(디지털), 6,000원","10:40, 센과 치히로의 행방불명(디지털), 10,000원","13:15, 그레이의 50가지 그림자(디지털), 10,000원","15:50, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","18:25, 킹스맨 : 시크릿 에이전트(디지털), 10,000원","21:00, 그레이의 50가지 그림자(디지털), 10,000원","23:35, 세인트 빈센트(디지털), 9,000원","25:50, 그레이의 50가지 그림자(디지털), 9,000원",
